lat,lon,alt,gs,track,vs
-24.365395,-70.365514,19275,386.2,178.2,1792
-24.6595,-70.355784,23150,407.2,178.3,1280
-24.691498,-70.354818,23425,415.2,178.3,1088
-24.729899,-70.353595,23775,421.2,178.4,1216
-24.752989,-70.352818,24150,421.2,178.2,1856
-24.777328,-70.351969,24525,419.2,178.1,2048
-24.79861,-70.351211,24900,417.2,178.1,2080
-24.822556,-70.350342,25250,417.2,178.1,2080
-24.836838,-70.349833,25450,416.2,178.2,2080
-24.891482,-70.347998,26100,416.2,178.2,1728
-24.92038,-70.346985,26375,420.2,178.2,992
-24.931091,-70.346629,26450,422.2,178.2,992
-24.966244,-70.345459,26800,422.2,178.2,992
-24.993943,-70.344526,27100,427.2,178.3,1248
-25.028205,-70.343334,27425,429.2,178.1,1152
-25.041321,-70.342916,27575,429.2,178.1,1280
