lat,lon,alt,gs,track,vs
-33.406538,-70.647471,2400,81.9,203.8,256
-33.41011,-70.649451,2475,82.3,204.4,320
-33.413008,-70.651002,2525,82.8,205.0,384
-33.428371,-70.660363,2800,82.7,206.6,320
-33.429657,-70.661096,2825,82.7,206.6,256
-33.433631,-70.66339,2900,77.4,205.2,512
-33.436378,-70.664959,2975,76.9,206.2,384
-33.444338,-70.669219,3150,76.9,206.2,384
-33.44577,-70.669995,3175,77.9,204.3,320
-33.456348,-70.675329,3325,77.9,204.3,320
-33.456674,-70.675497,3325,84.5,200.8,128
-33.462261,-70.677964,3350,87.7,200.7,64
-33.468292,-70.680762,3400,87.1,201.6,128
-33.471771,-70.68241,3425,87.1,201.6,128
-33.478729,-70.685706,3450,87.1,201.6,128
-33.480011,-70.686255,3450,92.4,199.6,-64
-33.481673,-70.686932,3450,93.3,199.4,-64
-33.489075,-70.690183,3450,93.6,200.0,0
-33.491272,-70.691034,3450,95.8,198.2,-64
