lat,lon,alt,gs,track
45.422607,-72.96184,3500,80.5,186.4
45.416885,-72.962625,3600,80.4,185.7
45.412811,-72.963213,3700,81.4,185.6
45.406219,-72.946668,3700,83.4,185.5
45.42247,-72.930712,3700,0.0,0.0
45.428513,-72.931301,3700,91.1,8.8
45.449203,-72.933916,3500,0.0,0.0
45.453278,-72.934309,3600,90.1,356.8
45.470078,-72.953404,3700,0.0,0.0
45.470078,-72.961709,3700,94.6,305.5
45.442245,-72.978516,3100,0.0,0.0
45.44664,-72.976881,2100,0.0,0.0
41.503275,-74.279267,900,65.2,249.3
41.502686,-74.282747,1000,63.6,250.7
41.50351,-74.284619,1000,63.1,255.3
41.504517,-74.286055,1100,61.9,301.1
41.509048,-74.287179,1200,64.8,321.9
41.510834,-74.286555,1200,73.0,1.6
41.512115,-74.285368,1300,75.0,13.1
41.513351,-74.283371,1200,75.8,31.0
41.514542,-74.280812,1200,80.3,50.6
41.51564,-74.278877,1300,88.2,57.0
41.516785,-74.27638,1200,91.3,55.3
41.518753,-74.271698,1200,94.0,57.2
41.520721,-74.267141,1200,93.3,59.0
41.52356,-74.26015,1200,92.3,60.1
41.52626,-74.252722,1200,93.5,61.2
41.527313,-74.250037,1200,93.9,62.1
41.529556,-74.24186,1100,94.8,62.3
41.528732,-74.236866,1100,96.9,68.2
41.523605,-74.231685,900,89.4,116.6
41.521912,-74.231373,800,79.4,163.2
41.520538,-74.231311,800,75.7,172.4
41.519165,-74.232122,1300,72.3,174.4
41.518158,-74.233433,1400,68.7,196.1
41.517334,-74.235181,1600,63.7,223.7
41.51619,-74.238801,500,66.9,238.4
41.515549,-74.240362,400,68.4,249.4
41.514404,-74.243608,300,65.4,246.6
41.513306,-74.246979,300,64.5,246.2
