lat,lon,alt,gs,track
41.613325,-73.907009,500,71.5,227.8
41.61232,-73.908712,600,70.8,227.3
41.612869,-73.919262,900,72.3,228.4
41.614197,-73.919823,900,64.4,316.9
41.615845,-73.920198,900,65.8,343.2
41.618866,-73.919386,900,69.7,351.8
41.620239,-73.917888,900,71.9,21.2
41.621338,-73.916265,900,72.5,39.4
41.622391,-73.914143,900,77.2,48.7
41.623672,-73.912145,900,80.5,55.1
41.624817,-73.910086,900,86.2,52.1
41.627014,-73.905654,900,89.4,53.6
41.632004,-73.897539,900,90.6,52.6
41.636993,-73.889424,900,90.4,51.7
41.639374,-73.885117,1000,91.2,52.1
41.640518,-73.882869,1000,92.0,52.5
41.645187,-73.874005,1000,92.0,52.5
41.649765,-73.865391,900,93.0,53.8
41.652969,-73.858774,800,93.0,53.8
41.656036,-73.85222,900,91.3,55.3
41.656677,-73.850223,900,90.7,55.8
41.656586,-73.843855,800,88.5,57.9
41.655029,-73.842732,700,73.9,120.0
41.653564,-73.84217,700,73.4,162.6
41.650269,-73.843106,600,73.7,172.2
41.646881,-73.850535,500,74.5,202.1
41.644043,-73.856777,400,77.9,240.8
41.64212,-73.860647,400,82.0,240.0
41.64093,-73.862582,300,82.2,238.4
41.638824,-73.866015,200,81.5,236.5
41.636719,-73.869012,200,80.5,235.1
41.634888,-73.872008,100,76.1,230.9
41.634064,-73.873568,0,72.5,230.6
