lat,lon,alt,gs,track
39.225055,-77.773132,4100,262.0,22.0
39.237808,-77.766545,4000,260.7,21.8
39.239822,-77.765589,3900,258.9,22.0
39.247238,-77.761828,3800,257.6,21.9
39.256485,-77.757051,3700,258.1,21.6
39.262436,-77.754065,3600,259.3,21.0
39.264313,-77.75317,3600,259.6,21.2
39.282257,-77.744273,3300,260.5,21.1
39.344238,-77.712508,3200,0.0,0.0
39.387726,-77.697343,3200,0.0,0.0
39.395576,-77.700684,3200,204.1,343.8
39.42778,-77.71627,3200,0.0,0.0
39.443436,-77.723913,3200,178.8,339.0
39.449066,-77.727376,3200,178.6,338.3
39.451401,-77.729585,3200,179.0,331.3
39.451813,-77.732809,3200,180.3,316.1
39.452682,-77.734601,3200,174.5,302.6
39.453735,-77.743258,3200,174.6,288.0
