lat,lon,alt,gs,track
32.500678,-95.939624,700,69.0,109.5
32.498886,-95.928772,700,70.0,99.9
32.498611,-95.926849,700,71.4,101.3
32.498337,-95.923059,700,71.4,101.3
32.498291,-95.921356,700,71.0,99.7
32.498383,-95.919489,700,70.9,98.9
32.498611,-95.917511,700,70.6,97.3
32.498795,-95.915753,700,70.5,96.5
32.49884,-95.91394,700,70.3,94.9
32.498016,-95.906854,800,69.4,95.8
32.496094,-95.864777,800,0.0,0.0
32.494171,-95.85824,800,72.0,91.6
32.494171,-95.846759,800,67.9,99.3
32.494446,-95.844672,800,72.3,94.8
32.493576,-95.836707,800,73.3,95.5
32.493805,-95.834674,800,74.2,94.6
