lat,lon,alt,gs,track
31.727398,-81.098987,2600,125.2,202.1
31.725906,-81.099943,2600,130.5,202.1
31.717804,-81.10339,2600,129.9,203.6
31.714828,-81.10479,2600,131.7,200.9
31.701599,-81.111737,2600,133.3,201.6
31.695419,-81.114376,2600,138.4,203.4
31.694366,-81.114807,2600,144.3,200.7
31.691299,-81.115992,2600,146.8,199.9
31.659439,-81.131287,2400,0.0,0.0
31.639755,-81.137426,2400,0.0,0.0
31.631561,-81.14028,2400,125.0,196.3
31.607254,-81.146581,2500,0.0,0.0
31.595993,-81.149436,2600,121.2,196.8
31.59343,-81.150243,2600,125.6,193.8
31.580017,-81.155413,2500,124.7,193.9
31.579468,-81.159076,2400,120.9,200.8
31.582397,-81.165215,2400,107.9,235.6
31.584183,-81.167423,2400,103.2,315.0
31.597458,-81.168392,2500,103.9,314.6
31.626205,-81.157675,2400,0.0,0.0
31.633255,-81.154875,2400,107.6,20.1
31.635178,-81.154013,2400,107.2,19.6
31.636459,-81.153582,2400,100.9,19.7
31.642502,-81.150728,2400,97.7,19.7
31.645386,-81.148682,2400,99.0,20.1
31.65239,-81.145343,2400,100.7,24.0
31.663239,-81.140173,2100,106.1,23.9
31.667679,-81.138395,2100,105.9,22.2
31.688416,-81.130102,2200,0.0,0.0
31.712173,-81.118846,2300,0.0,0.0
31.71579,-81.116854,2300,102.3,21.8
31.813614,-81.045428,2400,0.0,0.0
31.814392,-81.044824,2500,149.5,33.3
31.819382,-81.040265,2500,149.2,33.8
31.822037,-81.037518,2500,147.8,37.0
31.827072,-81.033014,2500,146.2,37.5
31.836136,-81.024939,2400,144.6,38.0
31.838837,-81.022632,2300,146.2,37.5
31.8479,-81.014227,2400,147.4,38.1
