lat,lon,alt,gs,track,vs
34.07689,-118.057709,1300,75.5,304.7,448
34.077209,-118.057849,1300,107.3,338.7,448
34.078766,-118.05712,1300,107.3,338.7,384
34.080963,-118.055943,1300,93.1,2.5,320
34.082977,-118.055102,1300,95.5,22.8,192
34.087509,-118.052972,1300,100.1,21.7,128
34.09346,-118.049273,1300,104.9,22.4,0
34.096024,-118.048208,1300,105.6,24.6,0
34.097792,-118.046494,1300,110.1,20.7,0
34.099319,-118.045349,1200,107.4,27.8,0
34.101013,-118.044452,1200,104.2,28.0,-192
34.103657,-118.043232,1200,102.5,24.8,-256
