lat,lon,alt,gs,track,vs
40.647446,-112.347046,5200,78.1,9.6,512
40.651886,-112.344971,5300,78.1,9.6,512
40.655319,-112.341064,5400,76.9,12.8,512
40.65921,-112.336487,5500,76.5,27.2,512
40.662918,-112.331543,5600,83.0,36.2,512
40.666855,-112.326233,5700,83.6,41.1,448
40.670013,-112.321045,5800,88.5,42.7,448
40.674087,-112.316041,5900,88.4,45.5,512
40.677671,-112.311422,5900,90.5,45.0,512
40.680954,-112.304932,6000,90.5,45.0,256
40.681503,-112.302124,6000,93.9,51.0,320
40.683197,-112.300049,6000,90.8,63.2,192
40.685486,-112.298035,6000,94.1,55.0,128
40.685492,-112.298064,6000,94.1,55.0,128
