lat,lon,alt,gs,track,vs
46.89854,-97.176748,2000,92.4,103.1,0
46.897888,-97.172312,2000,92.2,105.1,0
46.895607,-97.161607,2000,96.6,105.6,0
46.895279,-97.159996,1900,95.8,108.2,0
46.893233,-97.150621,1900,98.7,107.7,-256
46.892578,-97.147636,1800,98.4,107.2,-192
46.892162,-97.146113,1900,98.7,107.7,-192
46.891983,-97.144684,1800,96.8,108.1,-128
46.891464,-97.141536,1800,97.4,107.3,-128
46.890976,-97.138435,1800,97.8,106.0,-64
46.890518,-97.135345,1700,97.3,104.9,-384
46.88974,-97.12944,1600,95.6,103.3,-448
46.889788,-97.126465,1600,95.3,102.7,-384
46.889511,-97.123604,1600,93.8,97.3,-320
46.889008,-97.114471,1700,91.6,96.3,-64
46.888229,-97.105202,1600,93.5,96.1,0
46.888345,-97.099281,1600,93.4,95.5,-192
46.888687,-97.096344,1600,92.0,90.6,-192
46.88887,-97.093597,1500,91.2,86.2,-192
46.888916,-97.087898,1600,89.1,87.4,-64
46.88881,-97.082027,1600,89.1,88.1,0
46.888916,-97.073273,1700,89.0,89.4,256
46.889374,-97.064621,1700,89.1,88.1,128
46.889974,-97.052659,1700,90.1,87.5,0
46.889881,-97.043786,1700,90.1,88.1,0
46.889881,-97.034912,1700,90.0,88.7,0
46.889788,-97.025968,1700,90.0,90.0,0
46.890021,-97.016883,1700,91.0,89.4,0
46.890152,-97.010788,1600,91.0,88.7,0
46.890207,-97.007658,1500,91.0,88.7,-384
46.8903,-96.995263,1500,93.0,89.4,-64
46.890244,-96.99218,1600,93.0,89.4,64
46.890244,-96.986206,1700,93.0,90.0,320
46.890393,-96.974135,1700,92.0,89.4,128
46.890533,-96.96167,1700,93.0,89.4,0
46.891417,-96.952233,1700,94.0,88.8,0
46.892441,-96.949402,1700,94.6,74.1,0
46.893402,-96.946724,1700,94.8,62.3,0
46.894583,-96.943993,1700,94.9,61.0,0
46.89584,-96.941599,1700,95.2,58.3,0
46.897469,-96.939909,1700,94.6,56.7,0
46.899216,-96.938896,1700,92.2,40.6,0
46.899192,-96.938923,1700,92.2,40.6,0
46.908142,-96.937866,1700,88.6,25.4,0
46.909927,-96.937386,1700,81.2,4.2,0
46.913223,-96.936356,1600,79.4,5.8,0
46.914734,-96.935806,1400,71.8,12.9,-384
46.91629,-96.934776,1400,74.0,13.3,-704
46.917206,-96.932098,1300,75.3,17.0,-768
46.917892,-96.929832,1200,68.9,66.0,-896
46.918076,-96.926949,1200,70.8,71.1,-768
46.918167,-96.924202,1100,76.1,87.0,-832
46.918121,-96.921524,1100,78.2,86.3,-704
46.91748,-96.918983,1100,81.0,89.3,-576
46.916199,-96.917336,1000,81.0,114.0,-576
46.914505,-96.916786,1000,78.6,143.3,-512
46.912994,-96.917542,1000,75.5,173.2,-384
46.911713,-96.917816,1000,68.2,202.4,-256
46.910294,-96.917885,1000,66.5,195.7,-384
46.908783,-96.917747,900,64.1,190.8,-384
46.907181,-96.917747,900,65.3,185.3,-320
46.90567,-96.917747,900,66.1,183.5,-256
