lat,lon,alt,gs,track,vs
46.26096,-96.56179,2500,134.8,110.8,960
46.259995,-96.557833,2600,135.4,110.3,832
46.256516,-96.544435,2700,137.9,109.5,576
46.254501,-96.540014,2700,138.6,110.3,576
46.252625,-96.536396,2700,141.4,117.8,512
46.250427,-96.532846,2800,145.9,123.2,576
46.24823,-96.529228,2800,145.2,128.3,512
46.24617,-96.525209,2900,146.4,129.4,640
46.237885,-96.511208,3000,145.6,129.7,448
46.231064,-96.500356,3000,145.5,130.3,256
46.222137,-96.485685,3000,148.2,130.9,0
46.212799,-96.470746,3000,150.9,131.5,0
46.207947,-96.462908,3000,153.0,131.8,0
46.196915,-96.44107,3000,153.7,131.6,0
46.195221,-96.435577,3000,162.0,127.2,0
46.189316,-96.422447,3000,163.3,118.1,0
46.187302,-96.417824,3000,164.0,122.0,0
46.18071,-96.404091,3000,165.6,122.9,0
46.174484,-96.391363,3100,165.9,123.7,256
46.167343,-96.378233,3100,165.9,124.9,192
46.160706,-96.366108,3100,165.4,125.9,64
46.158371,-96.361754,3100,166.0,126.2,0
