lat,lon,alt,gs,track
40.007505,-74.598978,5500,130.2,43.1
40.010605,-74.595093,5400,133.1,42.6
40.014954,-74.589722,5500,131.6,43.2
40.023239,-74.580261,5500,131.6,42.5
40.028275,-74.573975,5500,134.5,42.6
40.031204,-74.570435,5500,130.1,45.0
40.039169,-74.559448,5500,130.1,45.6
40.046951,-74.5495,5500,130.8,45.9
40.04805,-74.548035,5600,130.8,44.7
40.055145,-74.538574,5600,132.9,45.0
40.058716,-74.534302,5500,133.1,42.6
40.061325,-74.530579,5500,131.5,45.6
40.063934,-74.527039,5400,133.0,46.2
40.071487,-74.517029,5300,137.2,45.6
40.074463,-74.512695,5300,138.0,47.6
40.07753,-74.50824,5400,138.7,47.3
40.084488,-74.499146,5400,136.5,46.5
40.095703,-74.483093,5400,133.0,46.2
40.101746,-74.47467,5400,134.5,47.4
40.104675,-74.470581,5300,133.7,47.1
40.109619,-74.463928,5200,133.7,45.9
40.113373,-74.458984,5300,130.8,45.9
40.115982,-74.455261,5400,132.2,45.9
40.123032,-74.445496,5300,128.0,46.0
40.127289,-74.439697,5200,130.9,47.2
40.13118,-74.434631,5200,132.3,46.5
40.131592,-74.434082,5300,131.5,45.0
40.134613,-74.429993,5400,130.8,45.9
40.142624,-74.418701,5400,130.9,46.5
40.146973,-74.412231,5400,127.4,47.5
40.153107,-74.403076,5400,127.5,48.2
40.157776,-74.39679,5400,128.8,47.5
40.165558,-74.385559,5400,129.5,47.2
40.171875,-74.376709,5500,133.1,48.0
40.179977,-74.36499,5500,133.8,47.7
40.187302,-74.354492,5500,134.5,48.0
40.194351,-74.343872,5500,135.3,48.3
40.200348,-74.335815,5500,138.0,47.6
40.20845,-74.32373,5500,140.9,48.2
40.213715,-74.316772,5500,138.0,47.1
40.221863,-74.304993,5500,138.7,47.3
40.229416,-74.293945,5500,138.0,47.6
40.23262,-74.288879,5500,138.2,48.8
40.237793,-74.280396,5500,137.8,50.3
40.241913,-74.273499,5500,137.3,51.2
40.247589,-74.263489,5400,138.8,51.7
40.249512,-74.26001,5400,142.2,53.3
40.25235,-74.2547,5300,143.8,53.8
40.25647,-74.247986,5400,145.8,53.4
40.261871,-74.239319,5300,144.0,52.3
40.266037,-74.232605,5200,142.9,51.0
40.27066,-74.225037,5300,143.1,51.5
40.274506,-74.218872,5200,142.0,50.1
40.278671,-74.212646,5100,145.7,50.8
40.281921,-74.208069,5100,146.8,49.1
40.283112,-74.206421,5000,148.0,48.0
40.286041,-74.20282,5000,147.2,47.2
40.288925,-74.199219,5100,144.3,44.4
40.292587,-74.194946,5100,140.1,43.3
40.296021,-74.191101,5200,136.5,43.5
