lat,lon,alt,gs,track
38.503098,-122.838792,1300,137.6,174.6
38.494812,-122.835567,1300,137.6,174.6
38.487717,-122.832582,1300,142.2,169.9
38.481033,-122.829059,1300,140.2,167.6
38.474075,-122.822909,1000,139.7,165.1
38.470139,-122.813714,900,141.4,155.8
38.473206,-122.805773,900,128.8,126.2
38.475998,-122.798727,800,111.7,70.1
38.481171,-122.795324,700,115.9,61.7
38.486115,-122.797473,600,108.1,39.0
38.491608,-122.799086,400,84.2,347.0
38.495911,-122.801593,300,92.2,347.5
38.499756,-122.804161,300,88.2,342.2
38.503967,-122.805474,200,84.9,338.6
38.506805,-122.807684,100,82.5,340.9
38.522256,-122.814941,700,0.0,0.0
38.526352,-122.817237,900,75.6,339.9
38.527908,-122.830671,1300,76.0,339.2
38.523834,-122.836164,1300,73.2,259.8
38.517883,-122.843031,1400,85.6,222.6
38.507263,-122.841419,1400,117.4,225.7
38.49939,-122.83712,1300,134.1,182.6
38.483276,-122.829596,1200,139.7,165.1
38.474808,-122.824999,1000,149.6,160.5
38.475403,-122.795384,700,0.0,0.0
38.480164,-122.793891,600,106.6,36.2
38.484467,-122.795025,500,96.2,20.7
38.488678,-122.795682,400,87.6,6.6
38.493713,-122.797951,300,84.1,2.0
