lat,lon,alt,gs,track
37.335686,-121.991531,800,129.1,181.8
37.324234,-121.992188,800,131.1,182.2
37.318415,-121.992785,800,133.3,183.9
37.307289,-121.9938,800,131.3,183.9
37.297211,-121.994583,800,130.3,184.0
37.29323,-121.994397,800,131.0,180.9
37.288575,-121.993979,800,132.0,179.1
37.282883,-121.992304,900,132.1,178.3
37.281876,-121.991895,900,134.9,166.3
37.280149,-121.990814,900,133.9,164.4
37.277573,-121.988915,900,136.6,156.2
37.275215,-121.986754,900,136.4,152.5
37.274918,-121.982662,900,131.7,138.1
37.275284,-121.981435,900,127.6,99.0
37.275541,-121.979649,900,123.8,83.5
37.278168,-121.977227,800,121.4,53.0
37.279221,-121.976818,800,126.6,36.3
37.280777,-121.978046,800,127.5,24.6
37.281418,-121.978396,800,118.7,339.3
37.282471,-121.980208,800,118.3,329.5
37.282837,-121.98126,800,115.4,301.9
37.283615,-121.982545,700,114.8,292.5
37.28508,-121.984824,700,108.8,299.2
37.289291,-121.987805,900,111.5,304.4
37.290065,-121.988127,900,102.0,333.2
37.291443,-121.988798,900,102.0,338.7
37.292393,-121.989202,1000,103.7,340.9
37.293869,-121.990025,1000,107.8,341.1
37.29483,-121.990434,1000,110.1,339.3
37.296349,-121.991232,1000,113.3,339.3
37.298813,-121.992597,1000,118.9,337.8
37.301331,-121.99374,1100,118.9,337.8
37.304855,-121.995285,1200,120.3,338.5
37.311572,-121.998218,1200,123.4,340.1
37.321884,-122.00294,1300,125.6,340.0
37.327194,-122.005336,1400,126.5,340.1
37.3328,-122.007592,1400,127.5,340.3
37.336338,-122.008786,1400,130.4,343.5
37.346393,-122.013026,1400,130.9,342.7
37.352142,-122.015504,1300,135.0,341.4
37.355052,-122.017146,1200,137.0,340.4
37.358093,-122.018543,1100,142.5,336.9
37.361011,-122.020012,1000,144.5,338.0
37.366699,-122.022867,900,144.1,338.4
37.37233,-122.025906,800,142.6,337.8
37.377502,-122.028653,700,140.8,337.4
37.380157,-122.029938,600,135.6,338.4
37.382471,-122.031177,600,133.0,338.8
37.382996,-122.031458,600,126.9,339.7
37.384799,-122.032371,500,125.4,339.0
37.38945,-122.034847,400,121.6,338.3
37.393982,-122.03736,300,117.9,337.6
37.398422,-122.039581,300,113.7,338.9
37.400436,-122.040516,200,112.0,339.6
37.402675,-122.041507,200,102.5,343.0
37.403915,-122.041977,100,102.5,343.0
37.404419,-122.042327,100,93.4,344.5
