lat,lon,alt,gs,track,vs
37.44108,-121.697228,3700,41.9,326.7,0
37.442184,-121.696492,3700,43.6,350.8,192
37.4431,-121.69544,3700,39.0,1.5,320
37.443146,-121.694388,3800,43.9,41.3,384
37.443604,-121.693219,3800,43.0,77.9,384
37.443329,-121.692109,3800,56.1,85.9,320
37.443832,-121.690531,3800,61.9,104.0,320
37.443787,-121.689304,3800,76.3,84.7,256
37.444153,-121.687726,3800,82.1,87.9,256
37.444153,-121.68609,3800,90.7,83.0,192
37.443558,-121.680597,3800,94.3,85.1,128
37.442093,-121.680071,3800,100.1,92.3,64
37.441635,-121.679428,3800,91.8,119.4,0
37.440811,-121.678551,3800,85.4,125.0,0
37.439346,-121.67972,3800,70.1,177.6,0
37.437332,-121.682233,3800,70.1,177.6,0
37.436611,-121.684212,3800,71.2,250.3,0
37.436371,-121.687083,3800,73.5,258.2,0
37.436142,-121.688486,3800,71.6,262.8,128
37.436325,-121.691933,3800,63.6,261.9,320
37.436462,-121.69281,3800,43.0,268.7,-64
37.436646,-121.694213,3800,40.0,270.0,-256
