lat,lon,alt,gs,track,vs
38.761116,-121.056458,1000,46.9,78.9,0
38.76178,-121.055066,1000,41.3,57.8,0
38.763016,-121.059663,1000,7.8,320.2,0
38.763862,-121.061218,1000,8.1,299.7,0
38.763885,-121.061275,1000,25.6,321.3,0
38.764514,-121.062622,1000,25.6,321.3,0
38.760178,-121.066828,900,31.9,311.2,0
38.757797,-121.064798,900,4.2,256.0,-64
38.757624,-121.064819,900,4.2,256.0,-64
38.758713,-121.062052,900,24.6,63.4,-64
38.7593,-121.060486,900,26.8,63.4,0
38.760086,-121.058588,900,39.8,61.5,0
38.760091,-121.058594,900,39.8,61.5,0
