lat,lon,alt,gs,track,vs
43.898621,-78.271839,2200,105.9,82.4,0
43.898758,-78.26922,2200,99.9,76.1,0
43.898254,-78.265324,2200,101.2,78.0,0
43.899399,-78.260917,2200,107.6,84.1,0
43.899307,-78.259384,2200,99.6,79.6,0
43.900726,-78.255807,2200,101.3,80.9,0
43.901321,-78.251911,2200,105.0,72.3,0
43.901871,-78.248908,2200,109.2,74.1,0
43.901962,-78.245076,2200,111.1,74.3,0
43.900452,-78.242266,2200,112.6,77.7,0
43.901184,-78.241116,2200,113.2,93.0,0
43.914047,-78.020495,2200,108.7,96.3,0
43.914185,-78.016663,2200,107.5,95.3,0
43.913727,-78.006634,2200,109.5,95.2,0
