lat,lon,alt,gs,track,vs
40.16478,-79.028687,4100,95.2,289.0,0
40.164734,-79.03186,4100,92.1,278.8,0
40.166199,-79.033142,4100,98.2,278.8,0
40.166153,-79.036987,4100,98.0,284.2,0
40.166382,-79.039673,4100,99.2,282.2,0
40.168213,-79.041809,4100,99.6,280.4,0
40.170044,-79.044006,4100,98.1,290.3,0
40.172699,-79.044617,4100,97.6,302.9,0
40.174393,-79.047302,4100,98.0,332.6,0
40.17659,-79.048889,4100,103.9,315.4,0
40.178833,-79.053711,4100,102.5,315.4,0
40.181351,-79.058044,4100,104.0,313.8,0
40.182678,-79.060303,4100,101.3,311.4,0
40.186798,-79.066589,4200,100.0,310.5,0
40.192062,-79.0755,4200,100.0,310.5,320
40.192886,-79.078125,4200,100.9,309.4,128
40.193115,-79.079285,4200,98.2,305.5,64
40.198975,-79.086426,4200,100.9,309.4,0
40.200485,-79.090576,4200,100.4,308.1,0
40.203278,-79.095825,4200,99.4,306.4,0
40.205566,-79.100769,4200,99.6,305.6,0
40.206802,-79.102722,4200,99.9,304.8,0
40.23262,-79.108276,4000,109.8,6.8,128
40.239441,-79.107483,4000,106.7,6.5,128
40.242554,-79.107361,4000,108.5,5.3,64
40.246033,-79.107361,4000,104.2,3.3,64
40.25029,-79.107239,4000,106.0,1.1,0
40.253723,-79.107239,4000,104.0,1.6,0
40.253586,-79.107239,4000,97.1,2.4,0
40.259399,-79.106689,4100,97.2,3.5,320
40.265671,-79.105225,4100,95.3,4.2,192
40.267914,-79.105042,4100,95.2,9.1,128
40.274551,-79.103516,4100,98.5,9.9,0
40.282974,-79.101746,4100,100.5,9.7,0
40.288284,-79.100342,4100,95.7,10.8,0
40.29657,-79.098511,4100,95.5,10.2,0
40.302841,-79.097412,4100,95.2,9.1,0
40.312683,-79.09314,4100,96.2,9.0,0
40.314514,-79.091431,4100,95.1,33.9,0
40.315887,-79.089783,4100,98.9,38.8,0
40.317169,-79.086975,4100,95.9,39.5,0
40.317535,-79.084167,4100,98.5,48.7,0
40.317993,-79.082397,4100,100.2,75.6,0
40.315659,-79.078735,4100,96.5,103.2,0
40.316437,-79.076294,4100,96.7,119.7,0
40.315933,-79.073792,4100,92.1,98.8,0
40.314926,-79.071594,4100,88.8,101.7,0
40.315384,-79.06897,4100,89.9,98.3,0
40.302979,-79.066711,4100,89.9,98.3,0
40.301239,-79.066772,4100,78.6,165.3,-320
