lat,lon,alt,gs,track,vs
44.042001,-78.531254,2800,102.6,195.3,0
44.021896,-78.545603,2800,103.8,205.1,0
44.012878,-78.554354,2800,104.5,201.9,0
44.011093,-78.556015,2800,98.3,224.6,0
44.009399,-78.558059,2800,99.2,221.7,0
44.007385,-78.559528,2800,97.1,221.2,0
44.004959,-78.560486,2800,98.4,217.6,0
44.002808,-78.561444,2800,104.3,212.5,0
43.998871,-78.566298,2800,103.1,210.3,0
43.867803,-78.682774,2900,92.0,271.2,-320
43.868036,-78.685586,2800,92.1,272.5,-512
43.868548,-78.689444,2700,95.3,274.2,-640
43.868729,-78.692258,2700,95.3,274.2,-640
43.869141,-78.695771,2700,100.7,276.8,-320
43.869758,-78.6986,2700,100.7,276.8,-320
43.870285,-78.705033,2600,99.1,278.7,-384
43.870969,-78.708278,2600,103.0,277.8,-320
43.871574,-78.711352,2500,101.8,280.8,-576
43.872505,-78.713771,2400,102.6,283.0,-640
43.872924,-78.716452,2400,99.0,286.4,-640
43.873157,-78.719788,2300,99.0,286.4,-640
43.874693,-78.721161,2300,98.1,281.8,-704
43.875641,-78.725025,2200,96.8,293.1,-704
43.876511,-78.727772,2100,97.9,291.6,-768
43.877951,-78.734044,2100,97.5,291.0,-384
43.879348,-78.740649,2100,101.5,289.0,-192
43.880326,-78.743722,2200,99.6,289.3,0
43.880977,-78.746926,2100,101.8,287.7,0
43.882782,-78.753832,2100,98.7,287.7,-256
43.882965,-78.754216,2000,95.8,288.2,-256
43.88377,-78.756016,2000,93.1,290.8,-384
43.885025,-78.760156,1900,92.5,291.6,-384
43.886581,-78.765458,1800,90.6,292.0,-512
43.888612,-78.772561,1800,88.8,292.5,-320
43.889357,-78.775831,1800,88.9,289.0,-256
43.890614,-78.780278,1700,88.9,289.0,-256
43.891891,-78.786408,1600,89.5,288.2,-384
43.894664,-78.79728,1700,91.7,288.4,-64
43.895641,-78.80055,1700,91.0,292.6,0
43.897922,-78.808267,1700,92.5,291.6,0
43.898254,-78.808828,1600,92.1,291.0,0
43.898248,-78.808855,1600,92.1,291.0,0
43.90274,-78.826329,1300,92.1,291.0,0
43.90274,-78.831248,1200,91.1,289.2,-640
43.90535,-78.836741,1200,86.1,282.8,-576
43.905624,-78.838465,1100,92.3,293.0,-512
43.907364,-78.843831,1100,86.2,291.8,-512
43.907227,-78.844342,1000,87.8,292.8,-512
