lat,lon,alt,gs,track
42.971146,-79.336491,700,76.6,220.8
42.97023,-79.338535,800,74.4,221.2
42.967438,-79.339876,900,75.0,225.0
42.966385,-79.340835,1000,72.0,207.3
42.963364,-79.342815,1100,69.8,209.1
42.962723,-79.343262,1200,71.1,207.6
42.961945,-79.344156,1200,72.5,208.0
42.960663,-79.345178,1300,73.1,210.4
42.959335,-79.345817,1300,71.7,210.1
42.957504,-79.345689,1400,70.3,204.4
42.956085,-79.345306,1500,71.1,176.8
42.954849,-79.34537,1500,70.8,166.9
42.952927,-79.344475,1600,74.3,162.8
42.951508,-79.343134,1600,78.2,159.0
42.951141,-79.342495,1700,76.7,157.8
42.949631,-79.340898,1700,79.6,153.1
42.948166,-79.339685,1800,80.5,145.1
42.946426,-79.336555,1900,78.6,143.3
42.945511,-79.334511,2000,77.1,136.6
42.944366,-79.332659,2000,76.4,132.9
42.943771,-79.330679,2100,75.7,132.3
42.942673,-79.328507,2100,76.0,125.4
42.941803,-79.326335,2200,78.2,125.1
42.940887,-79.324483,2200,78.2,122.5
42.939972,-79.322311,2300,79.6,122.7
42.939056,-79.320395,2400,80.5,122.3
42.937317,-79.315796,2500,81.3,121.9
42.936539,-79.313688,2500,84.2,119.9
42.93631,-79.312985,2600,83.6,116.3
42.93512,-79.308898,2600,81.9,115.3
42.933701,-79.306087,2600,84.6,114.4
42.932465,-79.303532,2600,88.6,116.8
42.931274,-79.299125,2600,91.7,115.2
42.930222,-79.297528,2600,96.8,113.1
42.929077,-79.29459,2600,99.7,116.8
42.926605,-79.288777,2600,101.1,118.3
42.924133,-79.281176,2600,99.3,117.6
42.923859,-79.278174,2600,99.3,116.3
42.92308,-79.275172,2600,96.8,109.9
42.921936,-79.269807,2600,98.4,109.0
42.921021,-79.264441,2600,97.7,107.9
42.919006,-79.258501,2600,99.3,108.8
42.918091,-79.252497,2600,99.6,107.5
42.915527,-79.244065,2600,99.3,107.0
42.914108,-79.23787,2600,102.1,108.3
42.911682,-79.2265,2600,99.6,107.5
