lat,lon,alt,gs,track,vs
47.946896,-117.427791,3100,69.9,166.8,704
47.94635,-117.42572,3200,61.9,148.9,832
47.945984,-117.423042,3200,59.8,110.6,768
47.945938,-117.42215,3200,64.4,96.2,576
47.945755,-117.419403,3300,61.1,93.8,640
47.945892,-117.41748,3300,63.1,93.6,576
47.945801,-117.416245,3400,63.0,90.0,640
47.946625,-117.412056,3400,67.1,87.4,576
47.946854,-117.409447,3400,72.6,78.1,448
47.947266,-117.407112,3500,75.5,78.5,512
47.947906,-117.402924,3600,76.7,78.0,576
47.948593,-117.397293,3700,76.7,78.0,640
47.949038,-117.394902,3800,75.5,78.5,768
47.949783,-117.390606,3800,75.7,77.8,768
47.950287,-117.387749,3900,75.9,77.1,640
47.950882,-117.384109,4000,77.1,76.5,576
47.952026,-117.378204,4100,77.1,76.5,640
47.952896,-117.37326,4200,77.4,75.8,640
47.953674,-117.368523,4300,77.4,75.8,640
47.95491,-117.36145,4400,77.4,75.8,576
47.955688,-117.356918,4500,76.4,75.6,448
47.956467,-117.352249,4600,75.2,76.2,704
47.957611,-117.345383,4700,76.2,76.3,576
47.959167,-117.335083,4700,78.3,76.0,192
47.960815,-117.324371,4700,79.3,76.1,0
47.961456,-117.319633,4700,81.5,75.8,256
47.961594,-117.318466,4800,84.6,75.6,256
47.963379,-117.306862,4800,86.4,76.6,128
47.965027,-117.295464,4800,88.5,76.3,0
47.965759,-117.289764,4900,90.2,77.2,256
47.967773,-117.277817,4900,91.4,76.7,128
47.969193,-117.269165,4900,92.4,76.9,0
47.971802,-117.248291,5000,92.4,76.9,0
47.971802,-117.241631,5000,93.7,78.9,64
47.972031,-117.238472,5000,95.5,84.0,64
47.9729,-117.23291,5000,95.8,82.8,0
47.973404,-117.229889,5000,94.2,80.8,0
47.974548,-117.221375,5000,93.6,79.5,0
47.97496,-117.218628,5100,93.6,79.5,192
47.976334,-117.20668,5100,92.4,80.0,192
47.977936,-117.195076,5100,93.6,79.5,0
47.979309,-117.185944,5200,93.7,78.9,192
47.980362,-117.180176,5200,95.1,77.9,256
47.98201,-117.174957,5200,96.3,77.4,128
47.982468,-117.171867,5200,93.0,73.1,128
47.982376,-117.167747,5200,93.4,74.5,64
47.995239,-117.078896,5300,92.4,76.9,0
47.996109,-117.069214,5400,96.5,76.8,256
47.996614,-117.064538,5400,94.7,79.1,192
47.997778,-117.05658,5400,96.5,79.8,192
47.999035,-117.049326,5400,96.9,78.7,64
47.999081,-117.042142,5400,94.2,77.7,0
47.998306,-117.034126,5400,90.6,83.7,0
47.999084,-117.026093,5400,92.0,91.2,0
47.99913,-117.018196,5400,94.1,87.6,0
47.998849,-117.009747,5400,94.1,87.6,0
47.999313,-117.00103,5400,96.0,89.4,0
47.999222,-116.992172,5200,98.0,88.2,0
47.998849,-116.98376,5100,100.0,88.8,-384
47.99913,-116.97583,5000,101.0,90.0,-512
47.998942,-116.967633,5000,99.0,89.4,-320
47.997757,-116.958595,4900,99.0,90.0,-384
47.996475,-116.950218,4900,102.3,94.5,-192
47.995148,-116.942184,4800,102.3,99.0,-256
47.995148,-116.934013,4700,101.0,101.4,-384
47.995605,-116.925224,4600,99.9,97.5,-448
47.99559,-116.925237,4600,99.9,97.5,-448
