lat,lon,alt,gs,track
45.253555,-123.124826,2200,98.4,354.8
45.259277,-123.125022,2300,98.4,354.8
45.264359,-123.125807,2400,99.3,355.4
45.266465,-123.125454,2400,97.3,355.3
45.268616,-123.124956,2500,93.1,358.1
45.271362,-123.124499,2500,91.0,1.3
45.274292,-123.124433,2600,93.1,2.5
45.27919,-123.124302,2700,92.1,2.5
45.281204,-123.124891,2700,93.1,1.9
45.286514,-123.124041,2800,92.1,3.1
45.29155,-123.12391,2800,94.1,2.4
45.293884,-123.124368,2900,91.0,1.3
45.29892,-123.124106,3000,90.0,0.6
45.306015,-123.123975,3000,89.0,1.3
45.313751,-123.123256,3000,89.0,0.6
45.318787,-123.122995,3100,89.0,1.3
45.324051,-123.122537,3200,90.1,1.9
45.332104,-123.121904,3200,91.1,1.9
45.339738,-123.121435,3200,91.1,1.9
45.34565,-123.119961,3200,92.1,2.5
45.348862,-123.119398,3300,97.7,7.1
45.353943,-123.117567,3400,100.1,8.6
45.361944,-123.11641,3400,97.2,8.9
45.369904,-123.11487,3400,96.0,8.4
45.378237,-123.114267,3400,97.9,7.6
45.381077,-123.113932,3400,98.6,6.4
45.386523,-123.113664,3400,97.4,5.3
