lat,lon,alt,gs,track
45.158844,-123.005088,400,58.9,110.9
45.16333,-123.001818,400,58.9,110.9
45.16713,-123.005415,400,48.4,7.1
45.170471,-123.008554,400,72.2,323.5
45.172714,-123.013393,400,72.7,325.6
45.175461,-123.016793,400,71.4,314.4
45.175455,-123.016797,400,71.4,314.4
45.182556,-123.019932,400,69.3,316.2
45.18576,-123.022025,400,65.2,339.3
45.189606,-123.022744,400,64.5,336.2
45.189607,-123.022692,400,64.5,336.2
45.197937,-123.02366,400,66.2,345.1
45.201525,-123.025572,400,70.7,351.9
45.201571,-123.030128,400,69.4,348.4
45.198778,-123.035353,400,47.3,283.5
45.198257,-123.039485,400,65.1,226.2
45.19725,-123.045109,400,59.1,246.0
45.201096,-123.049098,400,66.4,251.6
45.204071,-123.051453,400,61.0,325.0
45.208374,-123.052172,400,61.7,333.0
45.21167,-123.055246,500,69.2,349.2
45.21286,-123.060935,500,70.0,338.2
45.208832,-123.061523,600,59.1,288.7
45.204132,-123.06302,700,47.1,167.7
45.201233,-123.060346,900,70.3,194.8
45.196472,-123.061262,1000,53.7,155.8
45.192261,-123.061654,1100,79.0,178.6
45.188278,-123.061458,1200,73.0,180.0
45.184662,-123.061393,1300,73.0,180.0
45.181135,-123.061479,1400,71.0,180.0
45.177521,-123.063158,1500,69.0,180.0
45.173767,-123.064335,1500,68.6,187.5
45.170242,-123.064989,1600,68.1,190.1
45.166122,-123.067278,1600,68.9,189.2
45.165253,-123.067736,1700,67.9,193.6
45.162598,-123.069109,1700,69.1,194.2
45.160126,-123.072379,1700,66.8,196.5
45.159256,-123.073295,1800,64.5,209.7
45.15683,-123.074733,1800,65.5,211.3
45.155914,-123.075518,1900,63.1,207.4
45.153809,-123.077676,1900,65.8,208.1
45.150879,-123.081665,2000,64.7,211.7
45.14827,-123.08572,2000,66.6,215.8
45.147675,-123.086766,2100,66.8,218.9
45.146118,-123.09154,2100,66.7,220.1
45.145386,-123.092324,2200,70.0,233.1
45.142914,-123.095856,2300,71.7,230.1
45.139938,-123.101283,2300,72.5,230.6
45.137741,-123.106319,2400,74.0,231.6
45.136002,-123.110177,2400,73.4,232.2
45.133392,-123.11567,2500,75.0,233.1
45.131149,-123.12064,2500,74.6,234.8
45.128265,-123.126657,2600,74.9,235.9
45.12648,-123.130842,2500,75.5,235.3
45.124237,-123.135616,2500,75.2,236.9
45.121582,-123.14039,2600,75.7,236.3
45.118423,-123.144182,2600,75.5,235.3
45.115448,-123.148499,2600,75.7,226.6
45.112198,-123.152684,2600,76.4,223.9
45.108627,-123.157392,2600,75.0,223.9
45.105377,-123.161643,2600,75.0,223.9
45.101715,-123.165632,2600,76.4,222.9
45.098923,-123.168706,2600,78.9,219.3
45.094986,-123.172368,2600,79.8,217.9
45.090866,-123.173152,2600,80.5,212.3
45.089813,-123.174264,2600,72.5,195.2
45.086792,-123.175703,2600,79.5,201.4
45.082077,-123.178057,2700,79.9,202.1
45.077957,-123.179169,2700,81.0,198.0
45.0737,-123.179169,2700,79.1,196.1
45.07283,-123.179496,2700,76.5,186.8
45.069351,-123.178842,2700,77.6,187.4
45.065048,-123.178842,2800,77.1,183.0
45.060471,-123.17858,2800,77.0,180.7
45.056076,-123.178449,2800,78.0,179.3
45.051178,-123.178842,2800,82.0,181.4
45.046646,-123.179365,2900,83.0,180.7
45.042068,-123.179692,2900,82.1,182.1
45.041245,-123.179953,3000,81.1,182.1
45.037537,-123.180084,3100,81.1,182.8
45.033966,-123.180738,3200,86.1,183.3
45.027466,-123.182111,3200,88.1,183.2
45.026688,-123.182177,3200,82.6,186.9
45.023392,-123.182569,3200,82.5,186.3
45.022614,-123.1827,3200,77.4,185.9
45.018219,-123.1827,3200,78.2,184.4
45.014282,-123.180869,3200,78.2,183.7
45.013596,-123.180738,3200,81.2,170.1
45.009476,-123.180804,3200,80.2,169.9
45.004486,-123.179757,3200,88.1,178.1
44.999634,-123.179823,3200,87.3,175.4
44.994873,-123.179103,3200,87.1,177.4
44.989792,-123.177795,3000,90.2,176.2
44.985855,-123.177076,2900,90.2,176.2
44.983978,-123.176814,2900,88.3,175.4
44.981873,-123.176161,2900,88.3,170.2
44.978622,-123.176357,2900,89.6,169.1
44.978256,-123.176095,2800,88.4,174.8
44.976471,-123.174003,2800,88.6,173.5
44.975693,-123.175245,2800,85.4,161.6
44.975098,-123.175376,2800,77.9,167.4
44.973633,-123.17361,2800,81.9,171.6
44.971756,-123.173152,2800,77.5,160.4
44.970612,-123.172564,2900,79.1,163.9
44.967453,-123.17106,2800,79.1,163.9
44.962143,-123.169425,2700,76.9,164.2
44.960175,-123.169621,2700,76.7,164.9
44.95903,-123.169425,2700,78.6,172.7
44.957932,-123.169752,2800,73.7,172.2
44.955139,-123.168836,2800,74.2,176.1
44.950974,-123.167986,2800,72.4,173.7
44.949829,-123.167725,2700,72.7,172.1
44.946442,-123.167071,2500,73.7,172.2
44.941956,-123.166351,2400,76.7,172.5
44.940765,-123.165959,2300,77.6,172.6
44.936783,-123.165894,2200,91.2,170.5
44.93573,-123.164847,2200,80.2,176.4
44.932755,-123.163409,2100,80.2,169.9
44.931656,-123.163343,2000,77.1,166.5
44.928131,-123.162624,2000,77.9,167.4
44.927399,-123.162035,1900,77.5,168.8
44.924011,-123.1604,2000,77.9,167.4
44.919067,-123.159289,2100,75.7,167.8
44.915771,-123.157785,2000,76.9,167.2
44.911972,-123.156542,2000,77.1,166.5
44.908173,-123.155038,2000,72.6,168.1
44.904419,-123.154449,1900,72.0,166.4
44.90062,-123.15288,1800,71.4,168.7
44.896591,-123.152357,1700,71.8,167.1
44.892563,-123.152488,1700,70.0,170.1
44.888672,-123.151572,1600,71.3,175.2
44.883911,-123.151703,1600,71.3,175.2
44.88089,-123.151768,1500,72.1,176.8
44.87709,-123.151049,1400,71.1,176.8
44.872742,-123.150591,1400,68.1,176.6
44.869629,-123.150003,1300,68.1,176.6
44.865883,-123.149771,1200,68.2,175.8
44.862578,-123.150374,1200,68.1,176.6
44.861984,-123.150722,1100,63.0,180.0
44.859924,-123.154776,1100,63.1,182.7
44.860428,-123.156804,1100,57.0,268.0
44.859785,-123.161495,1100,57.0,268.0
44.85965,-123.162231,1100,64.8,261.1
44.860199,-123.167267,1000,63.0,259.9
44.860297,-123.168261,1000,71.1,272.4
44.860474,-123.171387,1100,71.1,273.2
44.860474,-123.171844,1100,64.1,273.6
44.861135,-123.176567,1100,65.0,270.0
44.861435,-123.177861,1100,64.0,279.9
44.862811,-123.181859,1100,66.1,280.5
