lat,lon,alt,gs,track,vs
35.90346,-83.966285,1000,69.4,311.5,512
35.903549,-83.969421,1200,69.0,289.5,576
35.903503,-83.971367,1200,63.1,267.3,704
35.903549,-83.972111,1200,67.0,268.3,576
35.901855,-83.981895,1300,66.0,269.1,512
35.900162,-83.982639,1400,66.2,243.1,512
35.899063,-83.984013,1400,64.9,236.3,512
35.899038,-83.98405,1400,64.9,236.3,512
35.89389,-83.989735,1600,68.4,232.1,384
35.891235,-83.99128,1600,64.7,219.4,448
35.889633,-83.991566,1600,66.4,198.4,320
35.884872,-83.992767,1600,68.7,188.4,192
35.882629,-83.992195,1600,79.4,190.9,64
35.879791,-83.990421,1600,79.2,175.7,0
35.877457,-83.986931,1700,75.6,152.4,192
35.875259,-83.983898,1600,80.2,130.4,256
35.874527,-83.982925,1500,75.7,132.3,-192
35.873337,-83.978348,1400,76.7,129.7,-448
35.872604,-83.973312,1300,73.1,109.2,-640
35.873108,-83.97068,1200,73.5,101.8,-512
