lat,lon,alt,gs,track
40.627697,-73.769136,-50.0,22.5,0.0
40.627616,-73.769198,-50.0,22.5,0.0
40.645143,-73.796024,-50.0,17.5,0.0
40.644585,-73.796051,-50.0,22.5,0.0
40.641384,-73.759008,-50.0,4.2,0.0
40.635204,-73.778094,-50.0,11.2,0.0
40.635017,-73.77832,-50.0,7.2,0.0
40.634651,-73.778625,-50.0,10.2,0.0
40.633942,-73.77916,-50.0,10.2,0.0
40.633541,-73.779099,-50.0,10.2,0.0
40.63345,-73.778778,-50.0,7.2,0.0
40.63274,-73.777359,-50.0,11.2,0.0
40.632637,-73.777084,-50.0,10.2,0.0
40.632442,-73.776581,-50.0,12.2,0.0
40.631779,-73.775162,-50.0,9.2,0.0
40.631493,-73.774521,-50.0,0.0,0.0
40.631481,-73.774414,-50.0,3.2,0.0
40.629432,-73.770853,-50.0,0.0,0.0
40.629478,-73.770859,-50.0,0.0,0.0
40.63884,-73.795532,-50,0.0,0.0
40.639572,-73.797241,25,167.4,301.3
40.645706,-73.812012,750,160.0,300.4
40.647491,-73.816284,950,165.9,296.1
40.635361,-73.865906,2800,0.0,0.0
