lat,lon,alt,gs,track
41.63855,-81.369241,2000,106.8,314.6
41.641022,-81.372549,1900,108.9,315.7
41.64505,-81.37748,1800,106.2,317.3
41.646103,-81.378729,1700,105.6,319.2
41.649216,-81.382037,1700,105.8,320.0
41.294197,-81.276278,-50.0,79.0,0.0
41.293121,-81.275635,3400,79.0,151.9
41.291519,-81.274414,3400,82.4,150.9
41.290237,-81.273376,3400,80.3,149.3
41.288681,-81.271912,3400,81.3,145.5
41.288361,-81.271667,3300,80.7,146.1
41.287399,-81.270874,3300,80.8,148.7
41.286072,-81.269897,3300,80.5,151.8
41.284698,-81.269043,3300,80.1,155.7
41.282639,-81.267883,3200,81.7,158.5
41.281906,-81.267578,3200,80.7,162.7
41.281174,-81.267273,3200,80.8,164.9
41.27504,-81.265503,3100,80.5,165.6
41.273529,-81.265137,3100,80.1,170.7
41.27243,-81.264893,3100,80.2,169.9
